Year,Voyage,CTD,Class,
2022,v06,v06004,WCE,
2022,v06,v06006,WCE,
2022,v06,v06007,SH,
2022,v06,v06008,SH,
2022,v06,v06009,EAC,
2022,v06,v06010,EAC,
2022,v06,v06011,EAC,
2022,v06,v06012,EAC,
2022,v06,v06013,EAC,
2022,v06,v06014,SH,
2022,v06,v06015,SH,
2022,v06,v06016,EAC,
2022,v06,v06017,SH,
2022,v06,v06018,SH,
2022,v06,v06019,SH,
2021,v03,v03013,WCE,
2021,v03,v03014,EAC,
2021,v03,v03015,EAC,
2021,v03,v03016,EAC,
2021,v03,v03017,SH,
2021,v03,v03018,SH,
2021,v03,v03019,SH,
2021,v03,v03020,SH,
2021,v03,v03021,SH,*
2021,v03,v03022,SH,*
2021,v03,v03023,SH,
2021,v03,v03024,EAC,
2021,v03,v03025,EAC,
2021,v03,v03026,EAC,
2021,v03,v03027,SH,
2021,v03,v03028,EAC,
2021,v03,v03029,SH,
2021,v03,v03030,EAC,
2021,v03,v03031,EAC,
2021,v03,v03032,EAC,
2021,v03,v03034,EAC,
2021,v03,v03035,EAC,
2021,v03,v03036,EAC,
2019,v05,v05002,EAC,offshore
2019,v05,v05003,EAC,offshore
2019,v05,v05004,CCE,
2019,v05,v05005,CCE,
2019,v05,v05006,EAC,
2019,v05,v05007,EAC,
2019,v05,v05008,WCE,
2019,v05,v05009,CCE,
2019,v05,v05010,CCE,
2019,v05,v05011,CCE,
2019,v05,v05012,CCE,
2019,v05,v05013,CCE,
2019,v05,v05014,CCE,inshore
2019,v05,v05015,CCE,inshore
2019,v05,v05016,CCE,
2019,v05,v05017,EAC,
2019,v05,v05018,CCE,EAC?
2019,v05,v05019,CCE,
2019,v05,v05020,EAC,inshore
2019,v05,v05021,SH,
2019,v05,v05022,EAC,CCE
2019,v05,v05023,CCE,
2019,v05,v05024,CCE,EAC
2019,v05,v05025,EAC,
2019,v05,v05026,SH,
2019,v05,v05027,EAC,
2019,v05,v05028,SH,
2018,v03,v03001,EAC,
2018,v03,v03002,CCE,
2018,v03,v03003,CCE,
2018,v03,v03004,EAC,
2018,v03,v03005,CCE,
2018,v03,v03006,CCE,
2018,v03,v03007,EAC,
2018,v03,v03008,EAC,
2018,v03,v03009,EAC,
2018,v03,v03010,EAC,
2018,v03,v03011,EAC,
2018,v03,v03012,EAC,
2018,v03,v03013,EAC,
2018,v03,v03014,EAC,
2016,v06,v06001,CCE,
2016,v06,v06002,CCE,
2016,v06,v06003,WCE,
2016,v06,v06004,EAC,
2016,v06,v06005,WCE,
2016,v06,v06006,EAC,
2016,v06,v06007,EAC,
2016,v06,v06008,EAC,
2016,v06,v06009,EAC,
2016,v06,v06010,EAC,
2016,v06,v06011,EAC,
2016,v06,v06012,EAC,
